10 KG Ketchup
Pinky - Proximal:;0.000003;0.000358;0.000729;0.00141;114.482681;387.940918;2700.670654;5538.045898;748.266357;1975.798462;1372.727173;1336.356079;1239.182861;1249.032227;1459.442139;1271.606812;1278.976807;1478.798584;1183.940063;1355.102173;1640.019531;1358.585449;1528.144653;1621.939087;1998.489014;1203.93811;1716.534302;2681.567139;4296.28125;1472.118042;1105.737427;0.000695;3329.180664;380.06131
Thumb - Distal:;0.000021;0.000011;0.000027;0.000022;1.016667;13629.819336;28989.0;24875.494141;11391.380859;15937.400391;12966.949219;12567.600586;12812.570313;12891.011719;13441.208984;13089.480469;13509.390625;13650.894531;13190.783203;13343.027344;13771.311523;12870.802734;13770.142578;13310.226563;15271.705078;11621.518555;14431.021484;10684.196289;8310.224609;1853.785034;107.164177;0.000078;0.000067;0.00003
Thumb - Intermediate:;0.000024;0.000088;0.000046;0.000128;13081.740234;32418.816406;60192.75;52234.789063;28155.707031;40984.402344;31765.6875;29596.591797;31073.179688;31838.574219;33843.082031;32413.246094;34726.882813;34749.175781;32395.685547;32969.113281;34822.746094;31060.867188;35784.71875;33189.75;41061.957031;27670.552734;37994.507813;34506.496094;29151.667969;2500.664307;0.000153;0.00009;0.000024;0.000004
Thumb - Proximal:;0.000215;0.000087;0.000336;0.00046;43234.800781;83038.054688;132107.328125;104863.976563;93418.960938;112817.039063;101469.382813;95353.539063;99628.8125;105665.90625;106106.015625;103493.28125;108857.117188;108636.679688;104575.234375;104033.34375;113130.734375;102523.757813;111779.289063;107396.132813;118247.851563;96345.328125;112515.25;130925.039063;94679.820313;90.596344;0.002723;0.001996;0.000693;0.000067


GraspType:;LargeDiameter
Index - Distal:;0.000003;128.077286;0.000481;652.077271;260.029816;0.000448;3395.194824;1755.084351;1581.787842;2431.484375;1587.25647;2333.274658;1480.784546;1938.062988;1393.413696;2275.357178;1453.032349;1818.890625;1758.615967;1689.970459;1915.881226;1692.177979;1904.475464;1919.722412;1749.498413;908.133789;1557.525391;735.223206;418.662781;198.190933;77.579124
Index - Intermediate:;167.912476;454.592438;297.888702;771.536804;4916.546387;21718.519531;38903.558594;30054.408203;27695.503906;33296.589844;26399.087891;33044.769531;25686.072266;29547.693359;24561.273438;32672.652344;24794.537109;28505.259766;27321.011719;27756.673828;28965.365234;27643.439453;28803.974609;28913.460938;27276.302734;20091.388672;9578.635742;1011.921631;707.877808;11321.136719;553.55365
Index - Proximal:;0.00077;0.0;0.0;0.001138;4199.340332;42816.039063;75604.640625;52028.226563;43597.933594;57748.070313;40358.867188;58699.492188;40202.335938;50767.085938;37009.371094;57075.035156;38601.964844;46912.953125;42602.777344;45612.179688;48104.003906;45261.429688;47401.25;46070.175781;45017.695313;32503.578125;15163.995117;0.000695;0.002577;23135.923828;0.0
Middle - Distal:;0.000096;0.000005;61.937794;211.525299;849.490845;2962.769531;3847.608887;3046.86377;2495.562256;3394.828613;2360.945068;3337.025879;2344.766113;2830.087158;2177.72998;3391.039063;2249.881104;2625.838623;2558.351074;2513.95874;2598.271729;2579.305664;2554.284668;2696.243652;2419.724609;2170.992676;1026.454346;98.003166;60.733723;0.000481;0.000372
Middle - Intermediate:;0.000199;0.0;0.000397;299.879791;3062.552002;12790.516602;37337.871094;21338.857422;21192.074219;27141.601563;20002.851563;26321.054688;18925.667969;22753.701172;17606.693359;26333.121094;18165.767578;22209.201172;20625.853516;21125.410156;22378.400391;21122.048828;22478.710938;22870.638672;20491.396484;10395.37207;4458.990234;960.538269;0.000431;4908.736328;387.232422
Middle - Proximal:;0.000397;0.00136;0.001537;0.00038;0.002941;26584.607422;73983.390625;41414.027344;44147.847656;54677.210938;41997.894531;53405.421875;39338.714844;47114.191406;36801.339844;52842.601563;37518.453125;46688.703125;41367.324219;44103.324219;45956.0;44678.34375;46803.765625;46806.71875;42803.167969;20058.888672;14257.202148;4569.976074;1822.935303;2460.300049;0.001475
