SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,1.842604,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,43.98315,True
SM_Cup,SM_Blue_Cup,2.069742,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,44.519638,True
SM_Cup,SM_Blue_Cup,2.158709,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,44.260372,True
SM_Cup,SM_Blue_Cup,2.144864,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,44.219368,True
SM_Cup,SM_Blue_Cup,1.887855,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,44.488605,True
SM_Cup,SM_Blue_Cup,1.794967,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,43.945854,True
SM_Cup,SM_Blue_Cup,1.784069,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,43.850075,True
SM_Cup,SM_Blue_Cup,2.027466,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,44.133972,True
SM_Cup,SM_Blue_Cup,2.104412,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,48.756298,True
SM_Cup,SM_Blue_Cup,2.060021,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,49.34948,True
SM_Cup,SM_Blue_Cup,2.045693,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,48.794926,True
SM_Cup,SM_Blue_Cup,2.226629,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,49.396492,True
SM_Cup,SM_Blue_Cup,2.220145,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,49.05711,True
SM_Cup,SM_Blue_Cup,1.796547,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,48.981316,True
SM_Cup,SM_Blue_Cup,2.046076,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,49.433743,True
SM_Cup,SM_Blue_Cup,2.161623,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,48.937721,True
SM_Cup,SM_Blue_Cup,2.338554,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,49.364513,True
SM_Cup,SM_Blue_Cup,2.279783,50.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,48.602303,True
SM_Cup,SM_Blue_Cup,2.180027,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,53.459385,True
SM_Cup,SM_Blue_Cup,1.233752,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,9,54.169094,True
SM_Cup,SM_Blue_Cup,1.989068,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,54.328972,True
SM_Cup,SM_Blue_Cup,2.146279,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,53.767357,True
SM_Cup,SM_Blue_Cup,1.80669,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,53.143806,True
SM_Cup,SM_Blue_Cup,2.00342,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,54.013962,True
SM_Cup,SM_Blue_Cup,2.12036,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,53.409081,True
SM_Cup,SM_Blue_Cup,1.858132,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,53.803543,True
SM_Cup,SM_Blue_Cup,2.223904,55.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,54.367062,True
